Timestamp,Event,Value
2025-12-08 01:19:16,Program Started,-
2025-12-08 01:19:32,Head Tilt,356.9
2025-12-08 01:19:33,Eyes Closed,0.175
2025-12-08 01:19:33,Head Tilt,358.72
2025-12-08 01:19:35,Eyes Closed,0.245
2025-12-08 01:19:36,Eyes Closed,0.188
2025-12-08 01:19:37,Head Tilt,358.91
2025-12-08 01:19:37,Eyes Closed,0.206
2025-12-08 01:19:38,Head Tilt,358.45
2025-12-08 01:19:38,Eyes Closed,0.208
2025-12-08 01:19:38,Eyes Closed,0.237
2025-12-08 01:19:39,Head Tilt,359.42
2025-12-08 01:19:40,Head Tilt,359.63
2025-12-08 01:19:40,Head Tilt,356.66
2025-12-08 01:19:40,Eyes Closed,0.216
2025-12-08 01:19:40,Head Tilt,359.46
2025-12-08 01:19:40,Eyes Closed,0.198
